NEIGHBORHOOD,BOROUGH,BLOCK,LOT,MULTI-LOT,DATE,PRICE,LOT AREA,LOT FRONTAGE,LOT TYPE,ZONING 1,ZONING 2,OVERLAY 1,OVERLAY 2,SPECIAL DISTRICT,MIH/VIH,BASE FAR,BASE ZFA,PPZFA
Williamsburg,Brooklyn,2314,"22, 122",Yes,45399,3832627,3352,67,Interior,M1-2 ,,R6A,,MX-8,VIH,2.7,8910,430
Tremont,The Bronx,3043,"72,77,46,80",Yes,45398,10975000,24834,332.42,Corner,C4-4D,,,,,VIH,5.4,134104,82
East Flushing,Queens,5374,56,No,45398,1650000,2446,21.5,Interior,R6A,,,,,,3,7338,225
Greenwood Heights,Brooklyn,658,13,No,45398,2650000,10017,100,Interior,M1-1D,,,,,,1,10017,265
Chelsea,Manhattan,692,53,No,45397,87400000,20555,352.1,Corner,M1-5 ,C6-3,,,WCH,VIH,5,171800,509
North Riverdale,The Bronx,5841,"1968, 1978, 1988",Yes,45393,12650000,32675,410.51,Corner,R6 ,,R3-1,,,,3.00/0.5,87088,145
Arverne,Queens,16013,1,No,45390,7750000,32939,202.18,Interior,R5D ,C2-3,,,C3,,2.00/0.50,74849,104
Crown Heights,Brooklyn,1225,"1, 24, 26, 27, 25",Yes,45386,4050000,5977,105,Through,R6A ,C2-4,,,,,3,17931,226
Long Island City,Queens,382,24,No,45385,6612500,6840,76,Interior,M1-3 ,,R7X,,LIC,VIH,5,42354,156
Borough Park,Brooklyn,5696,"12, 14",Yes,45385,5010000,8014,80,Interior,R5,,,,,,1.25,10018,500
Mott Haven,The Bronx,2600,96,No,45384,6000000,7270,61.25,Corner,R7X,,,,,MIH,6,43620,62
Crown Heights,Brooklyn,1178,7,No,45384,2700000,5051,50,Interior,R7A,,,,,,4,19929,301
Boerum Hill,Brooklyn,388,"19, 42, 51",Yes,45383,4300000,50692,506.92,Through,R7A ,C2-4,R7D,,,MIH,5.60/4.60,278875,142
Morrisania,The Bronx,2369,69,No,45383,39715000,8088,97,Interior,M1-1 ,,R7-2,,MX-7,,3.44,27821,155
Wakefield,The Bronx,5084,63,No,45380,14000000,24850,294.9,Through,R7D ,C2-4,,,,MIH,5.6,139160,75
Kingsbridge,The Bronx,5703,206,No,45380,2440000,9379,75.17,Interior,R6,,,,,,2.2,20397,120
Long Island City,Queens,474,"61, 1, 5",Yes,45380,10500000,22490,431.84,Corner,M1-3,,,,,,5,112450,124
Concourse Village,The Bronx,2421,26,No,45379,2000000,4834,41.67,Interior,R8A,,,,,VIH,5.4,26104,77
Hunters Point,Queens,79,29,No,45379,21687750,2500,25,Interior,C5-3 ,,,,LIC,,15,37500,125
Financial District,Manhattan,52,16,No,45379,4678358,6199,109.38,Through,C5-5 ,,,,LM,,15,92864,234
